# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
bu que 	不缺	c=0 d=2.68192e-19 t=15795
bu ran 	不然	c=1 d=8.51971e-28 t=15795
bu rong yi 	不容易	c=1 d=7.55117e-20 t=15795
bu shan 	不刪	c=0 d=0.0694197 t=15795
bu shan shu ju 	不刪數據	c=1 d=0.697676 t=15795
bu shan yu 	不善於	c=1 d=1.04025e-23 t=15795
bu shang ban 	不上班	c=1 d=3.01605e-17 t=15795
bu shao 	不少	c=1 d=1.31626e-27 t=15795
bu sheng xiao 	不生效	c=1 d=3.34244e-20 t=15795
bu shi 	不是	c=6 d=0.390679 t=15795
bu shi he 	不適合	c=3 d=8.61001e-05 t=15795
bu shi shi 	不實施	c=1 d=5.04262e-05 t=15795
bu shi yong 	不使用	c=1 d=4.26008e-21 t=15795
bu shou 	不受	c=1 d=4.10293e-20 t=15795
bu shou 	不收	c=1 d=4.34983e-31 t=15795
bu shu 	部署	c=8 d=1.57295e-09 t=15795
bu tai 	不太	c=1 d=9.69919e-24 t=15795
bu tai shu fu 	不太舒服	c=1 d=3.0416e-28 t=15795
bu tiao zhuan 	不跳轉	c=1 d=3.07802e-21 t=15795
bu tong 	不同	c=12 d=0.00575967 t=15795
bu tong ping tai 	不同平臺	c=1 d=1.40204e-05 t=15795
bu wang 	不忘	c=1 d=1.06036e-13 t=15795
bu xi guan 	不習慣	c=1 d=9.23087e-30 t=15795
bu xian 	不限	c=2 d=1.90537e-15 t=15795
bu xian shi 	不顯示	c=7 d=9.93796e-16 t=15795
bu xiang 	不想	c=1 d=8.18844e-32 t=15795
bu xin 	不信	c=3 d=3.75182e-18 t=15795
bu xing 	不行	c=1 d=0.19205 t=15795
bu xu yao 	不需要	c=5 d=1.44475e-05 t=15795
bu yao 	不要	c=12 d=0.0192485 t=15795
bu yao yao 	不要咬	c=1 d=0.018968 t=15795
bu yi 	布衣	c=3 d=2.20439e-07 t=15795
bu yi ding 	不一定	c=1 d=5.5269e-25 t=15795
bu yi nan er 	布衣男兒	c=1 d=4.34687e-23 t=15795
bu yong 	不用	c=2 d=2.00296e-25 t=15795
bu yu 	捕魚	c=1 d=1.92941e-26 t=15795
bu zai 	不在	c=5 d=6.41043e-05 t=15795
bu zai hai zi dao 	不在孩子到	c=1 d=8.31953e-13 t=15795
bu zhao 	不着	c=1 d=4.53598e-24 t=15795
bu zhi 	不知	c=0 d=2.91103e-19 t=15795
bu zhi bu duo 	不知不多	c=1 d=2.30278e-19 t=15795
bu zhi bu jue 	不知不覺	c=1 d=2.70887e-18 t=15795
bu zhi bu que 	不知不缺	c=1 d=2.69536e-18 t=15795
bu zhi chi 	不支持	c=6 d=6.54974e-11 t=15795
bu zhi dao 	不知道	c=8 d=8.36124e-13 t=15795
bu zhi xing 	不執行	c=3 d=1.3587e-10 t=15795
bu zhi zu 	不知足	c=0 d=3.30693e-13 t=15795
bu zhou 	步驟	c=1 d=0.00192083 t=15795
bu zuo yi ci 	不做一次	c=1 d=0.000183188 t=15795
ca han 	擦汗	c=0 d=2.05122e-12 t=15795
ca han kan 	擦汗看	c=1 d=2.0615e-11 t=15795
cai 	才	c=1 d=3.30345e-29 t=15795
cai 	采	c=2 d=7.71876e-17 t=15795
cai dan 	菜單	c=5 d=5.37292e-16 t=15795
cai fu 	財富	c=1 d=0.227638 t=15795
cai ji 	採集	c=0 d=0.0852144 t=15795
cai ji bao shi 	採集寶石	c=1 d=0.856415 t=15795
cai neng 	才能	c=10 d=0.246528 t=15795
cai niao 	菜鳥	c=1 d=1.09925e-25 t=15795
cai shi 	纔是	c=5 d=0.802776 t=15795
cai xing 	才行	c=2 d=2.05122e-11 t=15795
can bu ren du 	慘不忍睹	c=1 d=1.76184e-16 t=15795
can dan 	慘淡	c=1 d=3.12135e-09 t=15795
can jia 	參加	c=3 d=9.63604e-06 t=15795
can jiao 	慘叫	c=1 d=1.60354e-26 t=15795
can kao 	參考	c=6 d=1.15344e-14 t=15795
can shu 	參數	c=9 d=1.14773e-10 t=15795
cang 	藏	c=1 d=4.1256e-26 t=15795
cang bai wu li 	蒼白無力	c=2 d=2.79621e-09 t=15795
cang hai yi su 	滄海一粟	c=1 d=1.39405e-26 t=15795
cao chang 	操場	c=1 d=4.89859e-17 t=15795
cao cong 	草叢	c=2 d=3.08321e-26 t=15795
cao mei 	草莓	c=1 d=3.22244e-31 t=15795
cao zuo 	操作	c=16 d=0.980228 t=15795
ce 	測	c=1 d=2.12313e-34 t=15795
ce hua 	策劃	c=0 d=5.08274e-11 t=15795
ce mian 	側面	c=1 d=6.47595e-07 t=15795
ce shi 	測試	c=63 d=0.0968105 t=15795
ce shi bao 	測試包	c=1 d=7.83371e-11 t=15795
ceng ci 	層次	c=1 d=1.32516e-18 t=15795
ceng mian 	層面	c=6 d=0.000273303 t=15795
cha 	查	c=1 d=1.75121e-33 t=15795
cha 	茶	c=4 d=2.65037e-28 t=15795
cha bei 	茶杯	c=1 d=3.89607e-29 t=15795
cha bu duo 	差不多	c=2 d=1.29579e-19 t=15795
cha che 	叉車	c=2 d=1.86039e-31 t=15795
cha jian 	插件	c=17 d=1.29938e-09 t=15795
cha ju 	差距	c=1 d=3.23198e-07 t=15795
cha kan 	查看	c=27 d=1.43516e-09 t=15795
cha ru 	插入	c=2 d=1.61064e-11 t=15795
cha xun 	查詢	c=11 d=7.178e-12 t=15795
cha ye 	茶葉	c=1 d=3.6907e-29 t=15795
cha yi 	茶藝	c=3 d=4.37774e-18 t=15795
chai 	拆	c=0 d=2.08003e-29 t=15795
chai fen 	拆分	c=1 d=3.64839e-21 t=15795
chai wei ji yong 	拆爲己用	c=11 d=0.0590799 t=15795
chan 	饞	c=1 d=4.84309e-30 t=15795
chan chu 	產出	c=5 d=0.0110829 t=15795
chan dao 	禪道	c=2 d=8.80328e-15 t=15795
